statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m,,,,,,,,,,,,,,,,,,,,,,,
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,留侯里,1426,2,0,42,16,137,51,42,6,53,2,2,75,19,106,18,45,6,16,0,32,2,1,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,流芳里,1349,4,1,44,10,127,61,39,1,42,2,7,64,19,80,20,36,5,20,0,40,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,赤松里,708,6,1,23,6,90,26,10,3,26,2,1,34,17,38,15,24,4,0,0,18,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,黃石里,986,2,2,20,2,107,32,27,3,31,1,4,56,18,73,18,46,3,1,0,25,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,挹秀里,1556,11,2,70,16,189,58,54,10,72,1,3,53,33,112,23,34,8,1,0,17,4,0,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,湳興里,5043,4,7,137,36,463,149,143,31,151,12,13,177,69,404,96,260,32,6,1,196,11,3,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,新興里,2991,6,10,83,23,255,92,88,12,85,7,8,112,32,226,70,164,22,8,2,126,6,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,社後里,8474,10,7,166,45,593,238,216,49,241,17,20,405,154,843,267,794,122,10,6,451,50,13,19,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,香社里,4020,4,3,87,20,326,147,116,39,111,10,12,182,53,337,100,252,24,3,0,160,4,1,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,中正里,3991,8,0,77,38,341,133,94,23,85,5,11,111,50,367,103,292,25,1,0,157,13,1,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,自強里,4759,28,18,250,51,660,177,159,18,182,9,8,152,40,253,63,111,16,2,0,86,10,0,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,自立里,2598,6,3,59,15,227,81,76,15,64,4,9,85,34,222,57,149,26,2,1,101,5,2,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,光華里,2498,6,3,102,33,286,78,105,10,64,4,6,84,31,185,41,107,12,2,0,62,3,0,0,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,國光里,3556,21,5,189,33,496,139,112,20,120,7,6,107,64,179,58,82,28,0,0,53,4,0,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,港尾里,2614,4,9,94,29,251,104,76,11,88,4,2,85,46,167,37,112,13,1,1,73,3,2,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,金華里,3642,3,2,70,22,317,99,113,39,71,10,8,104,50,311,85,244,26,1,2,166,9,6,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,港德里,4507,8,7,111,37,353,150,119,27,94,10,12,131,59,362,115,289,43,6,3,212,13,1,6,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,民權里,2442,5,5,82,27,277,77,88,17,76,2,6,85,20,185,37,92,16,8,0,83,6,2,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,建國里,3349,11,6,91,22,271,101,109,24,78,9,8,117,38,269,73,209,25,4,2,149,10,2,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,漢生里,3880,21,6,181,32,430,140,113,27,126,5,7,117,43,251,64,138,29,2,0,107,10,2,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,公舘里,3542,7,6,87,23,311,105,97,24,113,10,16,119,64,271,81,189,29,3,1,143,11,3,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,新民里,3920,10,6,150,32,422,134,108,18,118,8,8,150,56,266,60,183,23,5,0,123,3,2,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,幸福里,3673,4,1,79,25,306,102,121,28,77,11,10,128,63,305,112,208,23,6,1,186,12,3,3,,,,,,,,,,,,,,,,,,,,,,,
