statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
104,臺北市松山區,莊敬里,4977,23,9,187,53,630,170,160,22,155,7,3,188,57,293,87,145,28,2,1,160,11,3,3
104,臺北市松山區,東榮里,7114,87,16,531,84,1166,234,160,18,220,7,10,158,131,204,56,73,30,4,0,41,6,0,1
104,臺北市松山區,三民里,6193,42,13,406,60,1027,179,162,16,221,8,6,158,60,217,57,84,25,2,0,44,10,1,2
104,臺北市松山區,新益里,4307,20,13,230,30,621,154,111,12,158,5,4,144,54,218,40,90,16,3,0,86,4,4,0
104,臺北市松山區,富錦里,4713,39,10,268,47,759,151,126,20,152,10,4,129,53,172,40,62,17,1,0,58,10,0,1
104,臺北市松山區,新東里,4459,29,9,239,41,621,162,125,25,179,7,3,147,66,221,61,68,17,4,0,78,5,0,0
104,臺北市松山區,富泰里,4221,25,8,262,49,631,123,106,5,134,3,5,103,58,153,32,55,19,0,0,28,5,0,0
104,臺北市松山區,介壽里,3937,44,10,291,37,662,116,103,13,110,6,4,91,61,145,27,60,21,1,0,34,8,0,1
104,臺北市松山區,精忠里,3874,60,9,274,52,615,150,93,8,109,7,7,92,76,106,35,44,21,1,1,29,5,1,2
104,臺北市松山區,東光里,6704,49,17,391,53,1114,227,158,7,228,9,4,189,94,260,79,88,37,3,0,82,19,0,3
104,臺北市松山區,龍田里,8984,77,36,700,94,1582,270,210,18,276,14,9,181,159,207,83,73,54,4,0,55,7,0,1
104,臺北市松山區,東昌里,2382,26,10,178,26,359,100,43,10,82,3,3,47,33,79,23,28,9,0,0,23,2,2,1
104,臺北市松山區,東勢里,3964,31,12,260,54,596,130,114,6,126,3,5,102,74,143,33,53,19,0,0,43,8,0,1
104,臺北市松山區,中華里,5561,80,13,492,54,984,187,130,10,138,7,3,113,89,130,41,48,28,5,0,25,3,0,1
