年月,地區,食品餐飲類未達50萬(筆數),食品餐飲類未達50萬(金額，新台幣),衣著飾品類未達50萬(筆數),衣著飾品類未達50萬(金額，新台幣),旅館住宿類未達50萬(筆數),旅館住宿類未達50萬(金額，新台幣),交通類未達50萬(筆數),交通類未達50萬(金額，新台幣),文教康樂類未達50萬(筆數),文教康樂類未達50萬(金額，新台幣),百貨類未達50萬(筆數),百貨類未達50萬(金額，新台幣),其他類未達50萬(筆數),其他類未達50萬(金額，新台幣),食品餐飲類50萬(含)-75萬(筆數),食品餐飲類50萬(含)-75萬(金額，新台幣),衣著飾品類50萬(含)-75萬(筆數),衣著飾品類50萬(含)-75萬(金額，新台幣),旅館住宿類50萬(含)-75萬(筆數),旅館住宿類50萬(含)-75萬(金額，新台幣),交通類50萬(含)-75萬(筆數),交通類50萬(含)-75萬(金額，新台幣),文教康樂類50萬(含)-75萬(筆數),文教康樂類50萬(含)-75萬(金額，新台幣),百貨類50萬(含)-75萬(筆數),百貨類50萬(含)-75萬(金額，新台幣),其他類50萬(含)-75萬(筆數),其他類50萬(含)-75萬(金額，新台幣),食品餐飲類75萬(含)-100萬(筆數),食品餐飲類75萬(含)-100萬(金額，新台幣),衣著飾品類75萬(含)-100萬(筆數),衣著飾品類75萬(含)-100萬(金額，新台幣),旅館住宿類75萬(含)-100萬(筆數),旅館住宿類75萬(含)-100萬(金額，新台幣),交通類75萬(含)-100萬(筆數),交通類75萬(含)-100萬(金額，新台幣),文教康樂類75萬(含)-100萬(筆數),文教康樂類75萬(含)-100萬(金額，新台幣),百貨類75萬(含)-100萬(筆數),百貨類75萬(含)-100萬(金額，新台幣),其他類75萬(含)-100萬(筆數),其他類75萬(含)-100萬(金額，新台幣),食品餐飲類100萬(含)-125萬(筆數),食品餐飲類100萬(含)-125萬(金額，新台幣),衣著飾品類100萬(含)-125萬(筆數),衣著飾品類100萬(含)-125萬(金額，新台幣),旅館住宿類100萬(含)-125萬(筆數),旅館住宿類100萬(含)-125萬(金額，新台幣),交通類100萬(含)-125萬(筆數),交通類100萬(含)-125萬(金額，新台幣),文教康樂類100萬(含)-125萬(筆數),文教康樂類100萬(含)-125萬(金額，新台幣),百貨類100萬(含)-125萬(筆數),百貨類100萬(含)-125萬(金額，新台幣),其他類100萬(含)-125萬(筆數),其他類100萬(含)-125萬(金額，新台幣),食品餐飲類125萬(含)-150萬(筆數),食品餐飲類125萬(含)-150萬(金額，新台幣),衣著飾品類125萬(含)-150萬(筆數),衣著飾品類125萬(含)-150萬(金額，新台幣),旅館住宿類125萬(含)-150萬(筆數),旅館住宿類125萬(含)-150萬(金額，新台幣),交通類125萬(含)-150萬(筆數),交通類125萬(含)-150萬(金額，新台幣),文教康樂類125萬(含)-150萬(筆數),文教康樂類125萬(含)-150萬(金額，新台幣),百貨類125萬(含)-150萬(筆數),百貨類125萬(含)-150萬(金額，新台幣),其他類125萬(含)-150萬(筆數),其他類125萬(含)-150萬(金額，新台幣),食品餐飲類150萬(含)-175萬(筆數),食品餐飲類150萬(含)-175萬(金額，新台幣),衣著飾品類150萬(含)-175萬(筆數),衣著飾品類150萬(含)-175萬(金額，新台幣),旅館住宿類150萬(含)-175萬(筆數),旅館住宿類150萬(含)-175萬(金額，新台幣),交通類150萬(含)-175萬(筆數),交通類150萬(含)-175萬(金額，新台幣),文教康樂類150萬(含)-175萬(筆數),文教康樂類150萬(含)-175萬(金額，新台幣),百貨類150萬(含)-175萬(筆數),百貨類150萬(含)-175萬(金額，新台幣),其他類150萬(含)-175萬(筆數),其他類150萬(含)-175萬(金額，新台幣),食品餐飲類175萬(含)-200萬(筆數),食品餐飲類175萬(含)-200萬(金額，新台幣),衣著飾品類175萬(含)-200萬(筆數),衣著飾品類175萬(含)-200萬(金額，新台幣),旅館住宿類175萬(含)-200萬(筆數),旅館住宿類175萬(含)-200萬(金額，新台幣),交通類175萬(含)-200萬(筆數),交通類175萬(含)-200萬(金額，新台幣),文教康樂類175萬(含)-200萬(筆數),文教康樂類175萬(含)-200萬(金額，新台幣),百貨類175萬(含)-200萬(筆數),百貨類175萬(含)-200萬(金額，新台幣),其他類175萬(含)-200萬(筆數),其他類175萬(含)-200萬(金額，新台幣),食品餐飲類200萬(含)以上(筆數),食品餐飲類200萬(含)以上(金額，新台幣),衣著飾品類200萬(含)以上(筆數),衣著飾品類200萬(含)以上(金額，新台幣),旅館住宿類200萬(含)以上(筆數),旅館住宿類200萬(含)以上(金額，新台幣),交通類200萬(含)以上(筆數),交通類200萬(含)以上(金額，新台幣),文教康樂類200萬(含)以上(筆數),文教康樂類200萬(含)以上(金額，新台幣),百貨類200萬(含)以上(筆數),百貨類200萬(含)以上(金額，新台幣),其他類200萬(含)以上(筆數),其他類200萬(含)以上(金額，新台幣)
103年04月,基隆市,44319,51234444,13816,33389518,4835,30454592,65142,63691220,4833,14242354,4033,10966486,15629,58541848,19642,24228894,6326,16401598,2439,16520403,24242,26336069,2373,7891780,1835,5773952,9175,33863413,7035,8681647,2088,5590336,960,5947215,9173,10245728,871,2928472,604,1812249,3159,12896935,3444,4541242,942,2938404,682,5554172,4870,6418879,389,1638510,357,1083882,1702,7695181,1229,1608468,315,929671,175,1123684,1624,1868419,147,378152,117,314373,598,2617543,703,1179292,193,721491,116,785389,1061,1473418,79,325017,102,354458,385,2560127,319,482687,102,250102,50,449012,488,798236,51,282539,51,221895,205,1755568,1081,2053288,421,1361497,375,4213717,2152,2975665,159,823313,230,809848,818,5077495
103年05月,基隆市,48871,61460696,15710,36923484,4684,25780624,68954,68666590,5637,17853863,4380,9958679,16983,63580368,21933,29902038,7631,19546775,2417,15088657,25707,28574314,2878,9877065,2036,5024295,9683,37459639,7848,11555561,2344,6510976,959,5527450,9573,10783620,1010,3049755,768,1783333,3369,14142656,3806,5753377,1056,3379524,645,4456185,5226,6949622,456,1984466,442,1162892,1752,8744282,1300,1748496,388,1042805,159,1113556,1635,1943933,149,696882,147,414511,614,2515024,789,1462618,235,729247,113,921866,1147,1541661,85,390206,113,330807,439,2015814,392,618718,111,364909,69,461465,494,870842,60,529761,53,144900,210,921051,1213,2157764,469,1391332,290,3566185,2194,2950385,167,1020307,260,815846,808,4971197
103年06月,基隆市,46937,56416925,15645,36892506,4895,30450772,69193,68835799,6044,16198200,4025,8679380,16715,62500476,21114,27260317,7387,17961186,2560,15833224,25741,28875014,3139,9573980,1886,4124143,9637,36675731,7233,9584235,2320,6034555,954,6411479,9609,11208075,1108,3666356,625,1557154,3391,14101787,3807,5758960,1025,2887679,635,4588941,5124,7244322,564,2199581,385,933438,1887,8189076,1233,1697957,288,783123,177,1224177,1612,1918896,139,622777,139,269389,561,2516711,728,1344262,231,711418,130,1071327,1145,1561245,116,563267,118,265436,406,1810355,372,642783,113,322885,64,590165,499,839719,53,173910,35,67127,178,1035153,1216,1985715,491,1501606,251,2570753,2116,2918913,198,818999,205,612808,836,5377885
103年07月,基隆市,53662,65021938,15480,35117427,5974,38154942,72642,70664257,5297,15082017,4442,8938858,13239,57114857,23680,30908101,7742,19069960,3229,21286991,27714,30577683,2783,7713284,2123,4526548,6559,32302531,8348,11033960,2500,6027216,1289,7933657,10003,11127318,1013,2726400,717,1728491,2332,12441300,4202,5978181,1111,3166946,920,6006875,5407,7070083,444,1967134,469,1155834,1168,6861849,1413,2016047,389,1050892,201,1259997,1734,2010342,138,336342,165,362284,455,2437873,750,1286708,224,582331,161,1280849,1239,1829315,72,267139,111,264826,260,1549516,383,539353,114,302310,77,605497,558,825348,56,234072,52,102153,141,1646418,1378,2537545,494,1599162,316,3465193,2259,3180736,144,1191946,235,830086,465,4343185
103年08月,基隆市,53050,74100938,16679,36324754,5538,29363802,74238,69406905,6238,16950024,4487,8990220,17269,66257434,23971,35152229,8010,18425814,3052,16018324,28175,29618292,3266,9261440,2211,4513453,9948,38607027,8223,13451341,2575,6417258,1199,7029704,10351,11459231,1173,4445712,665,1401409,3459,15931732,4298,7338233,1089,2556812,850,4733734,5697,7083128,473,1823180,432,944791,1832,8885065,1432,2353357,384,1007186,201,1418793,1849,2019682,150,628344,139,310341,645,2907782,794,1529566,248,558108,148,911865,1213,1571562,105,538143,97,250061,396,1779598,405,636391,151,392478,87,782189,539,753286,64,192465,38,89272,191,1668899,1478,3311321,522,1564854,306,2831453,2365,3224263,157,812816,197,551198,832,4913133
103年09月,基隆市,46950,56133736,13859,32381496,4568,24799476,70312,65504775,5402,17128178,4321,8758942,17719,73147302,20571,27352886,6246,15646422,2436,14007352,26759,28063425,2690,8646331,1898,4212054,10208,44164047,7332,9431150,2118,5636108,905,4996100,9611,10429933,967,3047013,665,1642164,3536,17104697,3664,5169560,891,2349998,485,3152157,5296,6930902,438,1945759,402,905128,1942,9992567,1165,1615322,321,972160,174,1558219,1747,1904148,139,466075,130,284786,648,3360972,755,1097505,199,501458,113,755553,1203,1570045,70,164835,91,242249,448,2429672,357,653404,123,314246,62,503423,483,697384,61,265652,39,62446,191,1247296,1212,2410134,422,1391649,226,1871017,2238,2915314,159,1531978,193,425393,847,7012721
103年10月,基隆市,46222,57106725,15839,42113639,4587,22426971,70635,62394770,5502,17757539,4770,15122550,19242,80670998,20259,26901682,7650,22066018,2364,11577464,26693,26837392,2865,9969675,2123,7077261,11419,50070690,7077,9286634,2546,7746385,913,4551350,9721,10524646,1035,3626772,715,2230455,3775,17288959,3644,5449119,1016,3012646,489,2557515,5205,6377196,445,1979448,427,1411863,2119,10538289,1142,1555869,355,1116452,172,785935,1779,2061157,155,549221,139,435980,704,3853133,730,1336979,225,748047,96,614358,1208,1678244,85,302034,103,409497,443,2351396,377,452645,121,401249,66,358443,555,738464,65,337919,46,222225,221,1464005,1186,2048142,532,1947377,230,1686223,2148,2682010,167,1118463,240,772464,976,6711325
103年11月,基隆市,44756,52262845,14363,39427730,4574,24916429,65794,55772631,5146,18030674,2799,7591413,18386,77614515,20186,25304738,6763,19690337,2408,13126806,24938,23890145,2636,9488958,1289,3861299,10662,43544137,7077,8638322,2211,6878738,893,6215011,8968,9032345,969,3923153,376,1068286,3688,18131034,3501,5052776,1003,3211651,491,3707511,4943,5522471,450,2395204,168,503960,1947,9783644,1123,1455711,319,1025403,163,835953,1609,1723494,159,723844,50,145035,671,3011490,749,1211311,245,800950,122,781776,1136,1332547,87,413478,34,130072,481,2431109,321,448004,134,434802,69,447565,493,655525,60,153463,16,64501,218,1240307,1128,1925448,467,1883146,259,2058955,2067,2593759,167,955555,81,397445,870,6341019
103年12月,基隆市,48305,58776311,18165,50419669,4489,23335174,68281,54306508,6001,21282914,2866,7555193,19397,79636198,21276,27151699,8036,23681459,2236,13517797,25332,23546945,2999,10918286,1226,3799488,11198,45296054,7357,9624017,2471,7561475,906,4914629,9292,8939796,1132,4406200,362,1587388,3971,17730209,3723,5531113,1165,3559681,495,2867001,4985,5318113,520,2240841,183,1187116,2117,10600705,1285,2097894,413,1424869,162,933262,1652,1570383,185,806624,54,208738,715,3437880,751,1615121,293,1058400,134,1279426,1198,1263125,110,653275,35,331121,520,3321382,383,571034,149,635240,80,489075,516,609933,77,305562,12,51129,212,982083,1284,2272183,624,2882023,275,2603862,2082,2174843,197,2452075,63,488671,989,6279208
104年01月,基隆市,49012,64106109,16228,45569761,5050,28327003,65043,46873021,6040,21093788,2726,8967578,18579,78659771,22196,33289059,8054,23570537,2606,17831831,24628,19751098,3200,12434355,1281,4313138,10949,44478930,7718,11272165,2725,8256947,1029,5876577,8871,7463336,1190,4959567,357,1519690,3839,17703842,3852,6388412,1170,4028977,569,3645437,4950,4828031,509,2671852,178,976728,2087,11506803,1309,1968701,319,1171191,201,1125148,1680,1442473,174,996890,57,327518,707,3083508,804,1769754,272,977056,126,775802,1144,1162421,101,462703,48,141309,476,3246801,401,634678,121,446657,66,380156,491,501209,80,573948,21,82357,222,1073559,1287,2743447,468,1923485,301,2794815,2025,1945021,175,1414817,72,390104,897,7198819
