statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男
105,臺北市松山區,莊敬里,4917,23,12,195,60,632,163,156,24,148,8,178,53,285,77,3,135,23,2,1,152,10,3,2
105,臺北市松山區,東榮里,6994,87,17,525,85,1162,227,153,14,217,7,145,122,203,44,12,74,17,3,0,37,10,0,2
105,臺北市松山區,三民里,6202,43,15,417,57,1049,177,159,19,210,7,152,64,206,57,9,79,19,2,0,40,17,1,1
105,臺北市松山區,新益里,4264,21,12,234,24,622,142,110,12,151,5,142,61,213,40,3,84,11,3,0,89,4,4,0
105,臺北市松山區,富錦里,4697,44,11,284,57,774,146,117,17,148,9,125,57,161,43,4,58,13,1,0,52,11,0,1
105,臺北市松山區,新東里,4447,29,9,253,41,627,155,120,27,172,5,142,63,216,53,3,67,16,4,0,74,6,0,0
105,臺北市松山區,富泰里,4132,29,9,262,47,625,123,104,5,131,3,100,54,147,32,4,50,15,0,0,29,7,0,0
105,臺北市松山區,介壽里,3926,48,12,297,35,643,116,102,13,109,6,87,67,140,34,5,59,20,1,0,30,8,0,1
105,臺北市松山區,精忠里,3826,62,10,283,52,608,155,92,10,102,7,92,68,98,28,3,41,17,1,1,22,7,1,1
105,臺北市松山區,東光里,6641,50,15,390,58,1111,230,147,10,224,8,182,84,264,64,5,89,25,3,0,80,19,0,1
105,臺北市松山區,龍田里,8909,78,39,719,91,1566,275,212,18,273,13,170,168,203,73,10,67,40,3,0,47,10,0,1
105,臺北市松山區,東昌里,2380,28,9,185,21,357,102,44,8,77,3,48,36,78,24,3,27,5,0,0,23,2,2,1
105,臺北市松山區,東勢里,3897,29,12,273,47,597,124,112,5,123,3,98,69,141,37,6,46,16,0,0,41,6,0,1
105,臺北市松山區,中華里,5526,82,15,496,55,967,194,124,9,135,7,100,87,127,47,3,46,17,5,0,22,10,0,1
105,臺北市松山區,民有里,7991,73,25,561,72,1314,260,211,22,248,8,202,116,263,57,7,94,28,2,0,51,21,0,3
105,臺北市松山區,民福里,5943,39,15,298,57,885,195,176,25,207,7,194,79,283,59,6,118,32,3,4,88,14,0,1
105,臺北市松山區,慈祐里,7322,15,7,270,59,889,240,247,37,201,18,311,110,508,129,10,269,58,5,1,195,56,5,8
105,臺北市松山區,安平里,7611,40,10,365,81,1004,248,229,30,231,9,238,115,419,87,14,190,33,4,1,223,24,4,3
105,臺北市松山區,鵬程里,5144,32,11,272,52,766,220,135,17,169,5,187,72,244,64,6,104,25,0,0,70,5,1,2
105,臺北市松山區,自強里,8740,63,22,647,89,1350,311,231,30,321,14,270,160,262,86,9,112,28,2,0,53,21,2,0
105,臺北市松山區,吉祥里,7674,60,23,475,73,1191,242,205,24,277,16,203,104,329,74,5,123,26,4,0,101,15,1,1
105,臺北市松山區,新聚里,7317,51,20,415,72,1035,289,203,24,220,10,222,95,330,79,8,142,23,3,1,92,15,0,1
105,臺北市松山區,復盛里,5882,38,12,332,62,843,194,175,28,180,11,189,70,289,59,8,119,21,2,0,101,11,2,4
105,臺北市松山區,中正里,8330,82,27,610,89,1260,294,222,25,239,6,186,160,254,66,8,77,23,2,0,72,23,2,0
105,臺北市松山區,中崙里,3623,28,11,229,42,472,149,108,10,100,6,78,67,164,35,1,57,14,3,1,47,14,0,0
105,臺北市松山區,美仁里,3032,27,8,188,27,480,96,63,6,90,1,98,52,123,26,1,54,16,2,0,47,7,0,0
105,臺北市松山區,吉仁里,3504,24,9,200,35,546,142,85,8,98,9,105,62,144,37,4,45,10,2,0,45,3,0,1
105,臺北市松山區,敦化里,6142,54,20,427,58,942,207,155,25,188,13,178,87,214,61,5,86,27,0,0,67,11,1,5
105,臺北市松山區,復源里,2791,17,8,199,28,395,96,73,9,90,3,71,49,125,30,3,49,15,1,0,30,5,0,0
105,臺北市松山區,復建里,3982,28,9,280,41,609,134,101,15,133,8,113,76,156,47,3,38,15,2,0,46,7,3,1
105,臺北市松山區,復勢里,5565,37,11,359,48,851,171,145,15,155,15,164,76,210,59,7,75,19,6,0,63,6,0,1
105,臺北市松山區,福成里,2359,26,4,186,20,368,99,40,5,71,2,55,40,74,18,1,22,12,1,0,14,5,1,1
105,臺北市松山區,松基里,3283,34,6,210,18,524,108,69,7,97,6,97,41,112,26,4,56,15,1,0,58,11,1,2
105,臺北市信義區,西村里,5403,35,17,309,51,791,239,139,5,197,1,208,83,241,40,8,151,77,2,0,112,35,6,8
105,臺北市信義區,正和里,4156,34,15,275,39,674,148,103,5,137,1,89,55,126,30,5,38,17,0,1,26,8,2,1
105,臺北市信義區,興隆里,2605,22,7,158,28,394,114,48,1,60,2,72,38,75,16,0,51,23,1,2,41,8,2,2
105,臺北市信義區,中興里,3174,23,13,197,35,478,112,72,5,95,0,74,51,116,13,4,40,15,0,0,27,4,0,1
105,臺北市信義區,新仁里,3104,26,11,219,47,500,126,61,10,115,11,71,46,80,29,3,39,12,0,0,26,2,0,0
105,臺北市信義區,興雅里,5317,33,17,304,52,784,209,159,5,175,0,182,59,224,53,14,89,24,1,1,86,4,1,2
